Element Count, Quick Sort - Ascending
541, 733883
542, 752566
543, 746671
544, 746654
545, 766600
546, 757316
547, 760591
548, 755283
549, 783345
550, 754333
551, 759541
552, 756970
553, 769579
554, 770137
555, 896537
556, 806179
557, 910033
558, 860896
559, 814629
560, 850995
561, 879933
562, 921554
563, 872029
564, 940345
565, 912620
566, 955658
567, 1003729
568, 897495
569, 929012
570, 857362
571, 976337
572, 945295
573, 873575
574, 866425
575, 859349
576, 866596
577, 872945
578, 908908
579, 882683
580, 876729
581, 911104
582, 940312
583, 859879
584, 854833
585, 854191
586, 852612
587, 860904
588, 872595
589, 878879
590, 872225
591, 874104
592, 925037
593, 919791
594, 910404
595, 893737
596, 908787
597, 927270
598, 915174
599, 904829
600, 901004
601, 917458
602, 912666
603, 921837
604, 961375
605, 909329
606, 919425
607, 939466
608, 920295
609, 935091
610, 1016850
611, 941166
612, 947087
613, 937391
614, 952604
615, 940179
616, 966366
617, 975487
618, 963462
619, 952362
620, 981516
621, 982875
622, 955600
623, 974095
624, 966545
625, 985166
626, 988400
627, 988079
628, 979062
629, 988975
630, 1004958
631, 1005733
632, 1008241
633, 1003570
634, 1023562
635, 1185833
636, 1065362
637, 1108516
638, 1041137
639, 1034329
640, 1048820
641, 1031699
642, 1083258
643, 1058795
644, 1105420
645, 1067099
646, 1058491
647, 1056245
648, 1100087
649, 1111149
650, 1094341
651, 1073374
652, 1099787
653, 1078791
654, 1099354
655, 1127408
656, 1130191
657, 1228629
658, 1094287
659, 1098574
660, 1102550
661, 1091100
662, 1098766
663, 1108662
664, 1092195
665, 1100679
666, 1098587
667, 1116229
668, 1112916
669, 1146470
670, 1125962
671, 1161691
672, 1158733
673, 1130450
674, 1144645
675, 1159366
676, 1148983
677, 1153579
678, 1147633
679, 1256583
680, 1158471
681, 1153012
682, 1150587
683, 1182133
684, 1165366
685, 1167274
686, 5147391
687, 2305512
688, 1385337
689, 1211795
690, 1189483
691, 1217087
692, 1222658
693, 1195441
694, 1197929
695, 1213624
696, 1224629
697, 1234508
698, 1217091
699, 1274020
700, 1295166
701, 1242295
702, 1222379
703, 1327691
704, 1250191
705, 1242079
706, 1246283
707, 1270141
708, 1260412
709, 1290083
710, 1259862
711, 1312250
712, 1289416
713, 1275687
714, 1274575
715, 1295204
716, 1294383
717, 1287004
718, 1292037
719, 1309970
720, 1305266
721, 1309091
722, 1308533
723, 1375491
724, 1321387
725, 1310775
726, 1314062
727, 1458800
728, 1315978
729, 1320746
730, 1319262
731, 1348304
732, 1337370
733, 1336950
734, 1337370
735, 1337120
736, 1358591
737, 1351166
738, 1357728
739, 1358812
740, 1358037
741, 1372941
742, 1538029
743, 1743554
