Element Count, Selection Sort - Random
542, 401308
543, 404391
544, 405279
545, 408766
546, 408891
547, 409733
548, 423737
549, 413083
550, 416816
551, 415670
552, 418187
553, 417829
554, 423608
555, 422016
556, 424033
557, 423600
558, 428854
559, 425724
560, 428991
561, 432170
562, 432841
563, 434945
564, 433624
565, 438533
566, 440016
567, 442874
568, 441354
569, 443679
570, 446016
571, 450908
572, 446750
573, 454050
574, 450804
575, 454445
576, 454849
577, 456858
578, 455741
579, 458362
580, 456783
581, 464483
582, 468262
583, 471625
584, 463895
585, 466862
586, 467454
587, 470878
588, 471904
589, 474720
590, 475283
591, 477033
592, 482083
593, 480154
594, 480845
595, 482458
596, 482541
597, 487083
598, 487433
599, 489008
600, 490545
601, 494412
602, 493054
603, 495775
604, 495754
605, 499054
606, 499912
607, 500862
608, 503883
609, 503825
610, 507387
611, 504325
612, 511412
613, 511037
614, 511087
615, 519462
616, 514371
617, 519716
618, 518387
619, 522783
620, 521754
621, 527266
622, 527983
623, 535354
624, 528729
625, 529787
626, 534037
627, 539716
628, 536453
629, 548887
630, 548883
631, 548908
632, 544158
633, 554412
634, 551725
635, 550650
636, 551987
637, 553329
638, 556979
639, 556712
640, 560504
641, 558229
642, 559712
643, 567003
644, 564775
645, 566066
646, 567612
647, 565274
648, 573358
649, 570600
650, 578083
651, 577924
652, 576224
653, 579633
654, 580920
655, 584449
656, 590178
657, 586225
658, 589416
659, 593991
660, 595174
661, 592762
662, 595850
663, 598920
664, 611629
665, 598720
666, 603279
667, 606420
668, 602854
669, 605962
670, 610429
671, 609279
672, 610937
673, 613337
674, 615904
675, 624625
676, 627858
677, 623429
678, 624149
679, 627666
680, 628412
681, 627291
682, 630483
683, 629741
684, 634362
685, 633650
686, 635075
687, 638949
688, 639125
689, 645124
690, 651349
691, 649220
692, 658458
693, 653316
694, 655741
695, 659504
696, 657745
697, 659545
698, 671674
699, 666750
700, 671837
701, 674020
702, 679991
703, 675378
704, 682508
705, 695629
706, 677141
707, 680904
708, 680983
709, 686070
710, 698783
711, 690770
712, 691137
713, 690896
714, 701083
715, 694295
716, 695475
717, 695383
718, 699724
719, 697445
720, 697550
721, 699754
722, 701883
723, 706945
724, 710941
725, 707737
726, 711133
727, 714020
728, 720537
729, 718725
730, 717475
731, 719908
732, 723821
733, 728279
734, 724154
735, 730295
736, 731437
737, 732362
738, 737787
739, 732870
740, 747216
741, 753808
742, 753400
743, 754241
744, 750149
745, 752550
746, 748608
747, 760512
748, 759124
749, 763349
750, 765991
751, 773754
752, 776737
753, 763195
754, 773566
755, 775150
756, 774862
757, 780129
758, 777820
759, 781866
760, 779008
761, 785091
762, 792204
763, 792737
764, 791171
765, 800554
766, 802645
767, 796612
768, 803583
769, 802454
770, 802783
771, 808325
772, 804441
773, 807466
774, 814312
775, 818229
776, 815387
777, 820249
778, 815550
779, 820733
780, 816350
781, 820533
782, 822675
783, 831441
784, 827170
785, 825266
786, 851225
787, 839745
788, 841000
789, 838533
790, 844858
791, 846854
792, 850258
793, 847591
794, 852983
795, 851250
796, 853645
797, 857896
798, 856125
799, 861270
800, 860974
801, 862800
802, 866087
803, 868358
804, 872545
805, 873483
806, 883629
807, 878670
808, 884058
809, 882583
810, 881066
811, 889458
812, 887745
813, 898541
814, 891112
815, 893725
816, 902925
817, 899162
818, 898346
819, 895483
820, 900108
821, 910795
822, 915474
823, 907358
824, 912487
825, 910112
826, 925058
827, 921662
828, 923304
829, 921833
830, 934195
831, 931987
832, 934316
833, 934758
834, 940516
835, 939525
836, 939516
837, 941704
838, 951591
839, 946279
840, 952566
841, 945520
842, 956016
843, 957020
844, 958479
845, 961275
846, 960637
847, 966029
848, 967737
849, 978341
850, 973895
851, 974999
852, 975329
853, 983791
854, 977100
855, 983608
856, 988891
857, 981433
858, 991925
859, 1006179
860, 994050
861, 992587
862, 1004066
863, 1006262
864, 1003475
865, 1003183
866, 1003962
867, 1010258
868, 1001824
869, 1006920
870, 1020495
871, 1016733
872, 1020708
873, 1035637
874, 1023741
875, 1030266
876, 1032841
877, 1031862
878, 1029249
879, 1041766
880, 1037370
881, 1041520
882, 1045083
883, 1044770
884, 1050550
885, 1046212
886, 1053595
887, 1054087
888, 1061104
889, 1080087
890, 1060583
891, 1069470
892, 1066874
893, 1071295
894, 1067504
895, 1068299
896, 1069433
897, 1075958
898, 1075666
899, 1080245
900, 1083637
901, 1081045
902, 1085154
903, 1083829
904, 1092575
905, 1089045
906, 1092799
907, 1108395
908, 1097816
909, 1109537
910, 1107512
911, 1109549
912, 1119167
913, 1112795
914, 1111875
915, 1115025
916, 1135158
917, 1122504
918, 1167725
919, 1135462
920, 1135950
921, 1126850
922, 1141454
923, 1134012
924, 1139329
925, 1148175
926, 1145162
927, 1147779
928, 1149312
929, 1150299
930, 1152446
931, 1170670
932, 1157379
933, 1173333
934, 1170087
935, 1175508
936, 1169479
937, 1179399
938, 1171141
939, 1176883
940, 1184325
941, 1179550
942, 1189779
943, 1186804
944, 1202054
945, 1197479
946, 1200541
947, 1200700
948, 1196737
949, 1199379
950, 1200662
951, 1203820
952, 1218053
953, 1219383
954, 1221933
955, 1221583
956, 1220270
957, 1230633
958, 1235062
959, 1221904
960, 1235495
961, 1232387
962, 1229579
963, 1234237
964, 1240424
965, 1240075
966, 1238675
967, 1247791
968, 1247708
969, 1247212
970, 1255366
971, 1250358
972, 1255883
973, 1255670
974, 1264837
975, 1267383
976, 1270337
977, 1269262
978, 1275245
979, 1271237
980, 1282754
981, 1276079
982, 1280137
983, 1287025
984, 1286970
985, 1293158
986, 1292987
987, 1298849
988, 1320883
989, 1298599
990, 1296154
991, 1304412
992, 1308037
993, 1311579
994, 1316366
995, 1322112
996, 1341862
997, 1333729
998, 1330229
999, 1335033
