Element Count, Selection Sort - Descending
542, 520737
543, 517387
544, 508083
545, 516375
546, 530349
547, 530616
548, 540508
549, 519699
550, 524458
551, 521983
552, 523745
553, 545954
554, 534520
555, 538150
556, 548816
557, 558108
558, 540037
559, 550033
560, 536770
561, 547633
562, 574500
563, 554870
564, 546824
565, 565358
566, 564608
567, 563670
568, 574866
569, 568787
570, 564953
571, 563150
572, 575195
573, 572291
574, 569529
575, 568949
576, 580562
577, 583883
578, 569991
579, 580912
580, 580695
581, 599770
582, 595995
583, 602908
584, 609041
585, 590533
586, 609366
587, 612812
588, 605245
589, 606791
590, 610170
591, 622016
592, 604733
593, 612862
594, 622033
595, 627129
596, 631866
597, 636558
598, 636975
599, 640333
600, 636195
601, 629325
602, 653087
603, 651804
604, 643037
605, 652200
606, 650075
607, 664762
608, 638883
609, 658149
610, 673616
611, 665091
612, 664562
613, 668100
614, 665600
615, 700237
616, 667470
617, 674837
618, 666300
619, 673562
620, 681745
621, 666154
622, 677420
623, 676579
624, 698775
625, 674491
626, 690521
627, 714645
628, 707587
629, 699341
630, 684549
631, 709820
632, 696850
633, 711320
634, 700437
635, 694945
636, 731754
637, 715004
638, 693112
639, 709758
640, 728525
641, 728379
642, 716420
643, 728841
644, 724916
645, 744495
646, 740804
647, 747254
648, 736704
649, 751662
650, 750104
651, 767145
652, 782925
653, 745683
654, 772808
655, 771670
656, 755933
657, 771941
658, 782424
659, 779433
660, 764620
661, 763287
662, 792562
663, 790020
664, 787904
665, 827379
666, 864900
667, 831620
668, 819645
669, 812850
670, 785812
671, 813070
672, 820537
673, 798212
674, 828562
675, 819491
676, 818321
677, 828545
678, 802945
679, 824220
680, 814554
681, 806537
682, 817666
683, 832091
684, 807108
685, 809920
686, 838708
687, 830791
688, 842178
689, 822779
690, 838258
691, 822908
692, 855575
693, 860291
694, 835195
695, 880329
696, 857366
697, 862575
698, 863804
699, 863074
700, 902654
701, 880925
702, 881974
703, 868883
704, 884420
705, 874637
706, 896141
707, 877895
708, 871721
709, 901570
710, 905270
711, 905487
712, 907679
713, 918896
714, 933783
715, 909895
716, 931983
717, 925300
718, 929371
719, 928525
720, 917920
721, 938974
722, 922587
723, 920687
724, 915220
725, 933966
726, 966508
727, 946133
728, 944446
729, 936475
730, 956695
731, 954466
732, 956608
733, 996525
734, 952770
735, 948487
736, 981499
737, 974833
738, 976825
739, 970487
740, 989791
741, 992746
742, 986858
743, 987366
744, 981241
745, 998604
746, 1005187
747, 993312
748, 986745
749, 1025050
750, 1020724
751, 988949
752, 997750
753, 1017658
754, 1016799
755, 1025366
756, 1021275
757, 1036262
758, 1029479
759, 1019512
760, 1015058
761, 1006533
762, 1007912
763, 1030062
764, 1032187
765, 1056087
766, 1054258
767, 1049208
768, 1020116
769, 1062787
770, 1053225
771, 1091895
772, 1025687
773, 1075612
774, 1086854
775, 1040296
776, 1080270
777, 1096983
778, 1091346
779, 1050395
780, 1078112
781, 1105116
782, 1083741
783, 1106771
784, 1108799
785, 1083121
786, 1104675
787, 1204008
788, 1184541
789, 1191616
790, 1209562
791, 1223954
792, 1190058
793, 1221029
794, 1228887
795, 1219012
796, 1224491
797, 1262816
798, 1250066
799, 1258258
800, 1377166
801, 1167346
802, 1152012
803, 1176258
804, 1190408
805, 1235079
806, 1221400
807, 1233258
808, 1261653
809, 1229625
810, 1247775
811, 1237820
812, 1233675
813, 1259420
814, 1273850
815, 1246250
816, 1185808
817, 1178016
818, 1194841
819, 1206012
820, 1202229
821, 1191745
822, 1185883
823, 1222199
824, 1214858
825, 1166783
826, 1216412
827, 1203487
828, 1230933
829, 1205195
830, 1227162
831, 1241087
832, 1236850
833, 1217970
834, 1238037
835, 1251879
836, 1235770
837, 1257191
838, 1247816
839, 1246033
840, 1276925
841, 1246483
842, 1257579
843, 1250783
844, 1255875
845, 1276204
846, 1282329
847, 1305220
848, 1296108
849, 1311633
850, 1296283
851, 1289145
852, 1287104
853, 1310271
854, 1291791
855, 1314246
856, 1316328
857, 1306262
858, 1347754
859, 1308995
860, 1315683
861, 1340187
862, 1349595
863, 1358695
864, 1378708
865, 1363058
866, 1327012
867, 1373204
868, 1369183
869, 1364758
870, 1361720
871, 1358245
