Element Count, Quick Sort - Descending
542, 487133
543, 496808
544, 470158
545, 471141
546, 498424
547, 465266
548, 429370
549, 476041
550, 500633
551, 471929
552, 485920
553, 508850
554, 493254
555, 486220
556, 494879
557, 480529
558, 503308
559, 569962
560, 548458
561, 954687
562, 615416
563, 569125
564, 1093754
565, 721162
566, 693916
567, 555508
568, 518924
569, 516304
570, 524349
571, 519725
572, 586474
573, 759416
574, 582454
575, 535179
576, 540541
577, 572637
578, 576866
579, 574266
580, 518637
581, 523204
582, 585441
583, 479620
584, 522579
585, 502466
586, 521708
587, 497458
588, 506329
589, 516899
590, 472841
591, 533875
592, 503074
593, 504233
594, 511362
595, 492983
596, 489758
597, 543483
598, 546158
599, 557612
600, 558516
601, 524329
602, 561833
603, 534325
604, 547016
605, 525941
606, 528670
607, 579316
608, 574329
609, 778816
610, 641075
611, 664025
612, 702108
613, 678771
614, 591291
615, 613404
616, 583045
617, 605504
618, 619899
619, 557945
620, 588970
621, 595158
622, 581466
623, 619325
624, 578424
625, 605545
626, 583350
627, 595450
628, 575891
629, 593845
630, 606312
631, 567324
632, 617174
633, 599975
634, 562608
635, 606583
636, 587870
637, 578641
638, 599620
639, 732825
640, 631724
641, 562433
642, 627812
643, 618916
644, 660375
645, 639458
646, 597083
647, 655549
648, 640845
649, 644220
650, 621500
651, 646020
652, 645895
653, 663587
654, 653750
655, 619024
656, 646175
657, 637354
658, 625500
659, 658341
660, 615096
661, 650250
662, 655679
663, 672662
664, 635191
665, 648579
666, 659079
667, 638075
668, 674212
669, 660095
670, 679049
671, 641741
672, 678962
673, 660487
674, 667779
675, 685262
676, 692208
677, 668258
678, 681391
679, 689333
680, 671200
681, 707208
682, 677125
683, 688141
684, 711737
685, 753691
686, 693250
687, 674466
688, 711091
689, 718250
690, 716012
691, 721312
692, 721291
693, 701133
694, 744371
695, 742808
696, 744441
697, 737583
698, 783700
699, 750308
700, 759608
701, 726904
702, 774762
703, 756541
704, 755500
705, 756833
706, 739383
707, 778762
708, 748587
709, 746395
710, 734141
711, 753808
712, 763675
713, 755445
714, 754429
715, 771116
716, 743137
717, 771862
718, 742725
719, 766337
720, 764870
721, 739241
722, 763316
723, 767212
724, 789775
725, 799987
726, 767912
727, 800166
728, 778271
729, 779995
730, 789941
731, 755999
732, 795904
733, 836121
734, 816662
735, 824508
736, 1069108
737, 908179
738, 820691
739, 816045
740, 860087
741, 835912
742, 855475
743, 861275
744, 818166
745, 823858
746, 946358
747, 862266
748, 850995
749, 854958
750, 850703
751, 819987
752, 802441
753, 813491
754, 838183
755, 875425
756, 849241
757, 900829
758, 850145
759, 865158
760, 891316
761, 864712
762, 863329
763, 856921
764, 903404
765, 916724
766, 915129
767, 865150
768, 853608
769, 863687
770, 851821
771, 902070
772, 872991
773, 917645
774, 877029
775, 877833
776, 915458
777, 912179
778, 935625
779, 883212
780, 890825
781, 927041
782, 885687
783, 868795
784, 910287
785, 878020
786, 912700
787, 895983
788, 912566
789, 944016
790, 957899
791, 961616
792, 891433
793, 886979
794, 899920
795, 934904
796, 920024
797, 932921
798, 936446
799, 931750
800, 968429
801, 971083
802, 1001641
803, 920566
804, 958729
805, 1011891
806, 1048945
807, 1030266
808, 963383
809, 976341
810, 994070
811, 985654
812, 997445
813, 971683
814, 973308
815, 986516
816, 968966
817, 1003150
818, 1004129
819, 1003670
820, 975983
821, 1003595
822, 1012766
823, 1030525
824, 988941
825, 995125
826, 1002329
827, 997266
828, 998862
829, 1014383
830, 1039708
831, 988983
832, 1022300
833, 1057458
834, 1031170
835, 1039658
836, 1032883
837, 1127412
838, 1096829
839, 1085912
840, 1056745
841, 1091046
842, 1142591
843, 1034870
844, 1053662
845, 1077962
846, 1095771
847, 1098729
848, 1143904
849, 1068395
850, 1054566
851, 1127345
852, 1113887
853, 1115279
854, 1064879
855, 1059262
856, 1108225
857, 1149016
858, 1127153
859, 1072095
860, 1061687
861, 1174041
862, 1082595
863, 1128545
864, 1130108
865, 1093704
866, 1094812
867, 1120800
868, 1096958
869, 1121946
870, 1068829
871, 1139758
872, 1146683
873, 1091187
874, 1088729
875, 1144479
876, 1136191
877, 1130254
878, 1137612
879, 1148133
880, 1125837
881, 1132504
882, 1157987
883, 1156770
884, 1158862
885, 1179704
886, 1123254
887, 1169358
888, 1135066
889, 1169558
890, 1175037
891, 1137262
892, 1149808
893, 1159000
894, 1188633
895, 1168245
896, 1170870
897, 1161399
898, 1150158
899, 1247583
900, 1174271
901, 1214425
902, 1174516
903, 1151916
904, 1211262
905, 1237150
906, 1195154
907, 1192724
908, 1218995
909, 1157112
910, 1224566
911, 1209062
912, 1267812
913, 1225779
914, 1222250
915, 1243404
916, 1281091
917, 1271720
918, 1221000
919, 1247483
920, 1236233
921, 1208687
922, 1276395
923, 1253962
924, 1251587
925, 1320054
926, 1236712
927, 1232750
928, 1269341
929, 1265520
930, 1236420
931, 1289187
932, 1284979
933, 1225221
934, 1324924
935, 1322121
936, 1268212
937, 1261470
938, 1321033
939, 1309570
940, 1292041
941, 1339033
942, 1342725
943, 1271929
944, 1346979
945, 1294475
946, 1283370
947, 1314091
948, 1277162
949, 1262737
950, 1327720
951, 1323412
952, 1342875
953, 1306183
954, 1329787
955, 1316841
956, 1325712
957, 1375012
958, 1361050
959, 1320333
960, 1371579
961, 1376245
962, 1318008
963, 1387208
964, 1389670
965, 1341924
966, 1366725
967, 1357733
968, 1339283
969, 1388479
970, 1359179
971, 1364041
972, 1436237
973, 1387262
974, 1378570
975, 1318933
976, 1391179
977, 1386891
978, 1434795
979, 1408220
980, 1405212
981, 1449520
982, 1422691
983, 1391616
984, 1413499
985, 1399954
986, 1419583
987, 1412291
988, 1458429
989, 1420333
990, 1391941
991, 1390904
992, 1430295
993, 1461116
994, 1492125
995, 1484616
996, 1443754
997, 1450975
998, 1469058
999, 1478916
