Element Count, Selection Sort - Ascending
543, 379229
544, 381100
545, 379574
546, 396200
547, 383995
548, 387545
549, 385566
550, 396250
551, 405295
552, 391116
553, 410445
554, 390116
555, 414062
556, 407370
557, 406662
558, 407862
559, 404970
560, 405858
561, 400212
562, 406320
563, 417333
564, 407095
565, 405008
566, 420441
567, 423416
568, 411804
569, 416016
570, 411204
571, 419587
572, 414341
573, 419504
574, 431579
575, 431158
576, 427337
577, 433245
578, 434691
579, 435170
580, 435862
581, 434920
582, 438295
583, 445300
584, 446937
585, 440616
586, 436674
587, 439150
588, 450345
589, 451816
590, 450329
591, 451062
592, 452645
593, 451887
594, 460483
595, 460241
596, 462108
597, 456924
598, 501525
599, 516099
600, 473149
601, 461595
602, 513133
603, 510745
604, 461549
605, 491983
606, 573504
607, 483854
608, 483666
609, 489437
610, 488679
611, 483095
612, 521796
613, 494550
614, 515062
615, 501275
616, 510754
617, 487483
618, 496966
619, 510054
620, 499662
621, 491937
622, 498604
623, 509004
624, 4501241
625, 1112854
626, 2173562
627, 1128929
628, 827837
629, 513308
630, 510953
631, 510183
632, 512849
633, 523716
634, 526866
635, 512262
636, 517887
637, 556687
638, 522449
639, 525083
640, 535891
641, 525312
642, 564641
643, 546466
644, 550033
645, 543475
646, 550875
647, 536621
648, 541345
649, 537875
650, 541562
651, 540879
652, 547891
653, 561658
654, 567470
655, 556604
656, 560591
657, 568708
658, 553741
659, 653416
660, 654233
661, 585762
662, 597558
663, 566633
664, 571191
665, 566471
666, 572716
667, 585379
668, 575458
669, 572724
670, 603224
671, 585745
672, 592041
673, 628579
674, 613229
675, 635879
676, 621041
677, 595504
678, 604416
679, 599600
680, 611133
681, 620245
682, 609970
683, 607274
684, 597199
685, 637408
686, 652383
687, 612479
688, 613233
689, 600554
690, 613770
691, 606604
692, 611929
693, 610537
694, 610391
695, 633970
696, 635854
697, 668304
698, 620104
699, 619850
700, 628216
701, 631841
702, 636766
703, 632108
704, 626995
705, 642154
706, 636979
707, 636108
708, 637245
709, 636300
710, 638270
711, 649099
712, 662041
713, 668529
714, 672120
715, 655441
716, 657270
717, 664496
718, 656995
719, 667624
720, 656254
721, 665404
722, 661570
723, 663400
724, 668212
725, 672283
726, 675670
727, 686429
728, 672587
729, 684033
730, 686283
731, 684408
732, 684625
733, 687820
734, 688383
735, 693325
736, 730383
737, 742012
738, 716324
739, 704879
740, 709175
741, 712158
742, 702162
743, 706749
744, 704283
745, 871658
746, 869416
747, 722983
748, 741500
749, 766121
750, 784037
751, 731308
752, 727454
753, 724558
754, 725016
755, 719958
756, 744033
757, 726483
758, 729108
759, 733966
760, 738287
761, 743033
762, 753358
763, 743695
764, 771541
765, 797579
766, 777170
767, 761016
768, 768070
769, 799108
770, 875062
771, 833079
772, 778829
773, 767520
774, 819283
775, 889087
776, 785650
777, 812249
778, 864520
779, 1001983
780, 844558
781, 809937
782, 797662
783, 811679
784, 785687
785, 811916
786, 791383
787, 819329
788, 821737
789, 832679
790, 822445
791, 816329
792, 819762
793, 956362
794, 836208
795, 818833
796, 810637
797, 833670
798, 837695
799, 838754
800, 855654
801, 835550
802, 846937
803, 828429
804, 840995
805, 829674
806, 836862
807, 826687
808, 832312
809, 840479
810, 841520
811, 837600
812, 840812
813, 851041
814, 855262
815, 840171
816, 854287
817, 854295
818, 853429
819, 853408
820, 865383
821, 974754
822, 919170
823, 892345
824, 899429
825, 930395
826, 941758
827, 961758
828, 908791
829, 900383
830, 890837
831, 1003000
832, 1093487
833, 953491
834, 1005145
835, 976445
836, 910137
837, 910554
838, 913645
839, 899008
840, 911637
841, 941895
842, 948087
843, 984824
844, 928645
845, 951541
846, 985941
847, 960153
848, 930621
849, 947671
850, 996262
851, 996283
852, 964866
853, 963058
854, 954841
855, 949391
856, 940470
857, 986053
858, 944520
859, 949304
860, 947350
861, 952704
862, 965170
863, 954504
864, 963670
865, 951283
866, 962720
867, 1049808
868, 965949
869, 962675
870, 1027758
871, 993137
872, 1006858
873, 1011983
874, 991104
875, 983183
876, 990270
877, 983470
878, 993616
879, 983429
880, 987208
881, 986937
882, 992399
883, 989429
884, 1006024
885, 995258
886, 1001725
887, 1025004
888, 1013275
889, 1018804
890, 1018045
891, 1011954
892, 1019487
893, 1059212
894, 1301437
895, 1366270
896, 1084491
897, 1052575
898, 1062970
899, 1053325
900, 1063412
901, 1041350
902, 1047308
903, 1053041
904, 1059741
905, 1089720
906, 1056520
907, 1068887
908, 1061250
909, 1057695
910, 1085816
911, 1084579
912, 1124304
913, 1081475
914, 1098354
915, 1110587
916, 1155745
917, 1084233
918, 1147633
919, 1078508
920, 1076196
921, 1079545
922, 1083075
923, 1090429
924, 1086633
925, 1087333
926, 1083041
927, 1136183
928, 1089158
929, 1120066
930, 1091516
931, 1130241
932, 1118221
933, 1140912
934, 1149254
935, 1199549
936, 1194770
937, 1134050
938, 1130741
939, 1123479
940, 1141645
941, 1128104
942, 1139858
943, 1138058
944, 1133974
945, 1136725
946, 1148779
947, 1141245
948, 1189924
949, 1275141
950, 1148391
951, 1158645
952, 1159521
953, 1165129
954, 1163304
955, 1160358
956, 1169637
957, 1163254
958, 1290941
959, 1197633
960, 1185299
961, 1194983
962, 1239604
963, 1182904
964, 1216270
965, 1193966
966, 1209904
967, 1226937
968, 1236979
969, 1266666
970, 1271812
971, 1270937
972, 1411116
